No comment  (13 February 2023   12:53:04)
  Wave    Wawenumber        Graph1 Graph2 Graph3 Graph4 Graph5
 358.54010 27890.88 -100.00 -100.00 -100.00 -100.00 -100.00
 358.80740 27870.11 -100.00 -100.00 -100.00 -100.00 -100.00
 359.07471 27849.36 -100.00 -100.00 -100.00 -100.00 -100.00
 359.34202 27828.64 -100.00 -100.00 -86.02 -100.00 -100.00
 359.60932 27807.96 -100.00 -100.00 -100.00 -100.00 -100.00
 359.87663 27787.30 -100.00 -100.00 -100.00 -100.00 -100.00
 360.14393 27766.68  -94.55 -100.00 -76.53 -100.00 -100.00
 360.41124 27746.08  -52.73 -100.00 -40.53 -96.31 -97.36
 360.67855 27725.52  -65.02 -100.00 -67.45 -100.00 -100.00
 360.94585 27704.99  -95.49 -100.00 -100.00 -100.00 -100.00
 361.21316 27684.48  -62.01 -100.00 -72.03 -100.00 -100.00
 361.48047 27664.01    0.17 -35.43 -17.23 -53.35 -42.44
 361.74777 27643.57    8.00 -23.87  -5.81 -50.88 -35.88
 362.01508 27623.16  -66.62 -86.87 -72.60 -100.00 -100.00
 362.28239 27602.78  -78.03 -99.57 -77.56 -100.00 -100.00
 362.54969 27582.43  -30.63 -52.18 -23.81 -86.55 -77.15
 362.81700 27562.10  -36.41 -60.52 -22.10 -95.46 -84.70
 363.08430 27541.81 -100.00 -100.00 -84.45 -100.00 -100.00
 363.35161 27521.55 -100.00 -100.00 -100.00 -100.00 -100.00
 363.61892 27501.32  -53.98 -94.44 -38.65 -100.00 -96.28
 363.88622 27481.12  -23.97 -55.20  -5.58 -72.77 -61.93
 364.15353 27460.94  -41.59 -77.81 -22.76 -88.91 -79.00
 364.42084 27440.80  -40.48 -84.33 -23.67 -88.00 -83.28
 364.68814 27420.69   19.93 -26.69  38.14 -26.05 -25.48
 364.95545 27400.60   86.75  28.20 108.75  34.42  30.41
 365.22276 27380.55  101.12  28.45 123.84  42.53  29.73
 365.49006 27360.53  124.98  31.50 153.30  56.77  41.38
 365.75737 27340.53  202.19  98.09 230.09 123.39 106.74
 366.02467 27320.56  313.36 200.22 340.66 222.24 206.18
 366.29198 27300.62  374.94 252.60 399.45 266.08 255.40
 366.55929 27280.72  351.17 233.43 375.27 232.66 227.81
 366.82659 27260.84  393.73 282.45 427.42 264.26 273.38
 367.09390 27240.99  419.70 314.01 443.45 277.01 300.40
 367.36121 27221.16  373.72 273.65 404.49 234.82 269.28
